first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank,qualification
Seth,Rider,Seth Rider,United States,USA,2022-07-09,2022 World Triathlon Championship Series Hamburg,21,0:54:07,first,157.72,32,Yes,157.72,Yes,# 32,Not on Track to Qualify
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-07-24,2022 World Triathlon Cup Pontevedra,2,1:47:12,first,462.5,8,Yes,864.47,No,# 8,On Track to Qualify
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,9,1:48:01,first,267.98,17,Yes,467.26,No,# 17,On Track to Qualify
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-07-24,2022 World Triathlon Cup Pontevedra,1,1:47:03,first,500,23,Yes,774.54,No,# 23,On Track to Qualify
Léo,Bergere,Léo Bergere,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,1,1:41:09,first,650,1,Yes,2686.01,No,# 1,On Track to Qualify
Jelle,Geens,Jelle Geens,Belgium,BEL,2022-08-12,2022 Europe Triathlon Championships Munich,5,1:41:39,first,399.72,3,Yes,2075.87,No,# 3,On Track to Qualify
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-08-12,2022 Europe Triathlon Championships Munich,13,1:42:59,first,204.03,10,Yes,1267.42,No,# 10,On Track to Qualify
Csongor,Lehmann,Csongor Lehmann,Hungary,HUN,2022-08-12,2022 Europe Triathlon Championships Munich,4,1:41:30,first,452.72,15,Yes,1055.58,No,# 15,On Track to Qualify
Michele,Sarzilla,Michele Sarzilla,Italy,ITA,2022-08-12,2022 Europe Triathlon Championships Munich,8,1:42:33,first,301.3,16,Yes,788.95,No,# 16,On Track to Qualify
Jonas,Schomburg,Jonus Schomberg,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,7,1:42:08,first,325.73,17,Yes,792.99,No,# 17,On Track to Qualify
Shachar,Sagiv,Shachar Sagiv,Israel,ISR,2022-08-12,2022 Europe Triathlon Championships Munich,17,1:43:35,first,149.37,21,Yes,575.29,No,# 21,On Track to Qualify
Sergio,Baxter Cabrera,Sergio Baxter Cabrera,Spain,ESP,2022-08-12,2022 Europe Triathlon Championships Munich,33,1:45:19,first,42.910000000000004,23,Yes,817.4499999999999,No,# 23,On Track to Qualify
Dorian,Coninx,Dorian Coninx,France,FRA,2022-08-12,2022 Europe Triathlon Championships Munich,3,1:41:24,first,511.67,24,Yes,618.29,No,# 24,On Track to Qualify
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-08-12,2022 Europe Triathlon Championships Munich,12,1:42:56,first,220.58,25,Yes,517.37,No,# 25,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-08-12,2022 Europe Triathlon Championships Munich,23,1:44:14,first,93.57000000000001,26,Yes,177.95,No,# 26,On Track to Qualify
Kristian,Blummenfelt,Kristian Blummenfelt,Norway,NOR,2022-08-28,2022 World Triathlon Cup Bergen,2,0:55:38,first,346.88,19,Yes,346.88,No,# 19,On Track to Qualify
Tom,Richard,Tom Richard,France,FRA,2022-08-28,2022 World Triathlon Cup Bergen,4,0:55:56,first,296.79,20,Yes,1197.87,No,# 20,On Track to Qualify
Dorian,Coninx,Dorian Coninx,France,FRA,2022-08-28,2022 World Triathlon Cup Bergen,1,0:55:37,first,375,24,Yes,993.29,No,# 24,On Track to Qualify
Márk,Dévay,Márk Dévay,Hungary,HUN,2022-08-28,2022 World Triathlon Cup Bergen,10,0:56:33,first,185.91,25,Yes,703.28,No,# 25,On Track to Qualify
Gianluca,Pozzatti,Gianluca Pozzatti,Italy,ITA,2022-08-28,2022 World Triathlon Cup Bergen,7,0:56:05,first,234.9,26,Yes,412.85,No,# 26,On Track to Qualify
Seth,Rider,Seth Rider,United States,USA,2022-08-28,2022 World Triathlon Cup Bergen,6,0:56:02,first,253.95000000000002,32,Yes,411.67,Yes,# 32,Not on Track to Qualify
Manoel,Massias,Manoel Massias,Brazil,BRA,2022-09-03,2022 World Triathlon Cup Valencia,1,0:50:14,first,375,6,Yes,1362.46,No,# 6,On Track to Qualify
Antonio,Serrat Seoane,Antonio Serrat Seoane,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,4,0:50:34,first,296.79,8,Yes,1161.26,No,# 8,On Track to Qualify
Matthew,Mcelroy,Matthew Mcelroy,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,3,0:50:25,first,320.86,9,Yes,320.86,Yes,# 9,On Track to Qualify
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,9,0:50:53,first,200.99,11,Yes,518.5699999999999,No,# 11,On Track to Qualify
