first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,cumulative,american,rank
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-08-28,2022 World Triathlon Cup Bergen,10,1:03:25,first,185.91,24,Yes,504.04999999999995,Yes,# 24
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,1,0:55:17,first,375,14,Yes,1683.25,No,# 14
Summer,Rappaport,Summer Rappaport,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,6,0:55:45,first,253.95000000000002,15,Yes,894.5300000000001,Yes,# 15
Leonie,Periault,Leonie Periault,France,FRA,2022-09-03,2022 World Triathlon Cup Valencia,3,0:55:24,first,320.86,16,Yes,384.22,No,# 16
Nina,Eim,Nina Eim,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,13,0:56:05,first,147.14000000000001,23,Yes,1117.3000000000002,No,# 23
Kirsten,Kasper,Kirsten Kasper,United States,USA,2022-09-03,2022 World Triathlon Cup Valencia,14,0:56:06,first,136.1,24,Yes,640.15,Yes,# 24
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,9,0:55:55,first,200.99,25,Yes,200.99,No,# 25
Lena,Meißner,Lena Meißner,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,13,2:08:00,first,196.19,8,Yes,444.07,No,# 8
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,6,2:07:11,first,338.59000000000003,14,Yes,2021.8400000000001,No,# 14
Summer,Rappaport,Summer Rappaport,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,3,2:06:29,first,427.81,15,Yes,1322.3400000000001,Yes,# 15
Leonie,Periault,Leonie Periault,France,FRA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,1,2:05:04,first,500,16,Yes,884.22,No,# 16
Julie,Derron,Julie Derron,Switzerland,SUI,2022-09-11,2022 World Triathlon Cup Karlovy Vary,11,2:07:51,first,229.29,19,Yes,1624.56,No,# 19
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-09-11,2022 World Triathlon Cup Karlovy Vary,7,2:07:18,first,313.20000000000005,20,Yes,839.2800000000001,No,# 20
Nina,Eim,Nina Eim,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,12,2:07:57,first,212.09,23,Yes,1329.39,No,# 23
Marlene,Gomez-Göggel,Marlene Gomez-Göggel,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,8,2:07:25,first,289.71,25,Yes,490.7,No,# 25
Yuko,Takahashi,Yuko Takahashi,Japan,JPN,2022-09-17,2022 Asia Triathlon Championships Aktau,1,2:02:28,first,545,20,Yes,1384.2800000000002,No,# 20
Taylor,Spivey,Taylor Spivey,United States,USA,2022-10-08,2022 World Triathlon Championship Series Cagliari,4,1:48:32,first,791.45,1,Yes,1978.63,Yes,# 1
Beth,Potter,Beth Potter,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,10,1:49:28,first,495.76,2,Yes,2487.25,No,# 2
Georgia,Taylor-Brown,Georgia Taylor-Brown,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,1,1:47:42,first,1000,3,Yes,2568.75,No,# 3
Cassandre,Beaugrand,Cassandre Beaugrand,France,FRA,2022-10-08,2022 World Triathlon Championship Series Cagliari,8,1:49:00,first,579.42,4,Yes,2538.52,No,# 4
Sophie,Coldwell,Sophie Coldwell,Great Britain,GBR,2022-10-08,2022 World Triathlon Championship Series Cagliari,7,1:48:56,first,626.4000000000001,6,Yes,1816.2200000000003,No,# 6
Miriam,Casillas García,Miriam Casillas García,Spain,ESP,2022-10-08,2022 World Triathlon Championship Series Cagliari,5,1:48:35,first,732.09,7,Yes,1429.6399999999999,No,# 7
Lena,Meißner,Lena Meißner,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,11,1:49:39,first,458.58,8,Yes,902.65,No,# 8
Laura,Lindemann,Laura Lindemann,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,15,1:50:24,first,335.73,9,Yes,1969.89,No,# 9
