first,last,name,country,country_abb,date,event,position,time,period,points,current_rank,currently_used,current_sum
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-06-11,2022 World Triathlon Championship Series Leeds,13,1:00:05,first,294.28,12,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-10-08,2022 World Triathlon Championship Series Cagliari,17,1:50:32,first,287.26,12,Yes,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-05-28,2022 World Triathlon Cup Arzachena,6,1:01:00,first,253.95,12,No,
Verena,Steinhauser,Verena Steinhauser,Italy,ITA,2022-08-12,2022 Europe Triathlon Championships Munich,15,1:54:21,first,174.58,12,No,
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-11-05,2022 World Triathlon Championship Series Bermuda,6,2:04:26,first,677.19,13,Yes,
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-10-08,2022 World Triathlon Championship Series Cagliari,9,1:49:11,first,535.96,13,Yes,
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,12,1:58:34,first,530.24,13,Yes,
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-07-09,2022 World Triathlon Championship Series Hamburg,7,0:59:06,first,469.8,13,Yes,
Maya,Kingma,Maya Kingma,Netherlands,NED,2022-06-11,2022 World Triathlon Championship Series Leeds,18,1:00:35,first,199.28,13,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-07-09,2022 World Triathlon Championship Series Hamburg,3,0:58:53,first,641.72,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-07-24,2022 World Triathlon Cup Pontevedra,2,1:57:55,first,462.5,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-09-03,2022 World Triathlon Cup Valencia,1,0:55:17,first,375,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,10,0:58:53,first,371.82,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-09-11,2022 World Triathlon Cup Karlovy Vary,6,2:07:11,first,338.59,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-08-12,2022 Europe Triathlon Championships Munich,13,1:54:03,first,204.03,14,Yes,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-06-11,2022 World Triathlon Championship Series Leeds,21,1:00:57,first,157.72,14,No,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-10-08,2022 World Triathlon Championship Series Cagliari,28,1:53:46,first,121.85,14,No,
Lisa,Tertsch,Lisa Tertsch,Germany,GER,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,43,2:02:09,first,47.3,14,No,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,5,0:24:42,first,640.58,15,Yes,
Summer,Rappaport,Summer Rappaport,United States,USA,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,4,0:58:35,first,593.59,15,Yes,
Summer,Rappaport,Summer Rappaport,United States,USA,2022-09-11,2022 World Triathlon Cup Karlovy Vary,3,2:06:29,first,427.81,15,Yes,
