first,last,name,country,country_abbr,date,event,position,time,period,points,current_rank,currently_used
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-06-11,2022 World Triathlon Championship Series Leeds,4,0:53:38,first,593.59,10,Yes
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-07-09,2022 World Triathlon Championship Series Hamburg,7,0:53:38,first,469.8,10,Yes
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-11-05,2022 World Triathlon Championship Series Bermuda,13,1:50:57,first,392.37,10,Yes
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,23,1:46:31,first,224.92,10,Yes
Vasco,Vilaca,Vasco Vilaca,Portugal,POR,2022-08-12,2022 Europe Triathlon Championships Munich,13,1:42:59,first,204.03,10,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-11-05,2022 World Triathlon Championship Series Bermuda,3,1:49:54,first,855.63,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2023-03-03,2023 World Triathlon Championship Series Abu Dhabi,7,0:53:18,first,469.8,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-09-11,2022 World Triathlon Cup Karlovy Vary,4,1:52:03,first,395.73,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-06-24,2022 World Triathlon Sprint & Relay Championships Montreal*,14,0:22:08,first,317.58,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-09-03,2022 World Triathlon Cup Valencia,9,0:50:53,first,200.99,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-11-13,2022 World Triathlon Cup Vina del Mar,12,0:51:42,first,159.07,11,Yes
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-11-24,2022 World Triathlon Championship Finals Abu Dhabi,45,1:49:25,first,40.47,11,No
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-06-11,2022 World Triathlon Championship Series Leeds,39,0:55:51,first,38.77,11,No
Roberto,Sanchez Mantecon,Roberto Sanchez Mantecon,Spain,ESP,2022-07-09,2022 World Triathlon Championship Series Hamburg,41,0:55:34,first,33.17,11,No
